LIQUIDITY_POOL_ADDRESS,MINT,SIG_INACTIVE,SIG_NO_PRICE,SIG_NO_METADATA,SIG_NO_IMAGE,SIG_MUTABLE,SIG_DRAINED,SIG_SHORT_LIFE,SIG_FEW_TXN,SIG_NO_NAME,RUG_SIGNALS,RUG_SCORE,RUG_LABEL,INACTIVITY_STATUS
3a3G1RjJe826EB1toShvPPWnyi2jXR53HP4vYb936kwj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
3a3G1RjJe826EB1toShvPPWnyi2jXR53HP4vYb936kwj,UNQtEecZ5Zb4gSSVHCAWUQEoNnSVEbWiKCi1v9kdUJJ,0,1,0,0,1,0,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
EBdyZ4vV5zSCWVsVmkexbPr3VrTUTx7ej2bPa89x1ons,9XYbEGVjBK2BWvtvjoJBZtnoHtkkdGiw321tdN6eLa4A,0,1,1,0,1,0,1,1,1,6,0.6666666666666666,LIKELY_RUG,Active
EBdyZ4vV5zSCWVsVmkexbPr3VrTUTx7ej2bPa89x1ons,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
2wEJ4pdy1qeZjMFG2bVLkk6WFwMTMafSvxgD7zLkjAPo,A5UevXJdphkzXhRtTXj8JyoYYrWnkCLHVS986JHtRLyj,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
2wEJ4pdy1qeZjMFG2bVLkk6WFwMTMafSvxgD7zLkjAPo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
Dh5husapuAh3XHswC9JP5HXBnmSNs8swqyTRbvvCusWg,Gz3u6eJaKEviYpPC5AwUziz891kNX76PNdsmJrnaNNY4,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
Dh5husapuAh3XHswC9JP5HXBnmSNs8swqyTRbvvCusWg,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
GVFLnAdhpkDU9rXDg9btsCrSPoyJ7NzkaeLPP3P3z6qe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
GVFLnAdhpkDU9rXDg9btsCrSPoyJ7NzkaeLPP3P3z6qe,7vKX5rx57VPE1ozJesFzojdPjGZ3M89894PT27i6seUF,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
FrZ3Nu73BLq3JrEqiUeYDXFThQQYQhdCdNYeuBSxagCs,3iBZV8gvUFxp333FFogUPVi6MP9dEZ74xUxVzEQvNPii,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
FrZ3Nu73BLq3JrEqiUeYDXFThQQYQhdCdNYeuBSxagCs,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
6WBCp2CDtrgSxKD1pFhpVfRQLrGfED74eGszfoKKQU96,43q34gUCKfgBQcJSNq2M4s8uVGuGtfAFQXES1BzW5UBv,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
6WBCp2CDtrgSxKD1pFhpVfRQLrGfED74eGszfoKKQU96,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
BimPSEV2PwioDzgFJ91LvvmmbxTZoMM9GDzRGywyFt3m,EctmRn2jMAdTDvQdG7mxadyiTvhGZiGYNrt9PWe6zioG,0,1,1,0,1,1,1,1,1,7,0.7777777777777778,VERIFIED_RUG,Active
BimPSEV2PwioDzgFJ91LvvmmbxTZoMM9GDzRGywyFt3m,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
Dp9LddSLgLiqofm6RJgcZtmSbYK7WKU3cxHoyaJGXvyT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
Dp9LddSLgLiqofm6RJgcZtmSbYK7WKU3cxHoyaJGXvyT,5j81MNxc3ru546HtUKq5b3qDg9qmqATZz89MYyKhdwhm,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
81QxnQMtP5WwYCB4hZFiarYK1UrfTabu8uTbgShMSDYz,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
81QxnQMtP5WwYCB4hZFiarYK1UrfTabu8uTbgShMSDYz,CAPYD6Lrm7bTZ6C7t7JvSxvpEcfKQ9YNB7kUjh6p6XBN,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
4zSRiTtg14n2aes5k7VPsGbf7j1QMtgeyPbSrNHxcgFx,H2rMQMa6kPpWwg2GraKyiiPwnayDBoBNg9WNVuafqXKc,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
4zSRiTtg14n2aes5k7VPsGbf7j1QMtgeyPbSrNHxcgFx,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
H8PEj2Resy6Pm4tTH6QwybnCswhi5CqKPb6CyVAKYbLB,5Z7bWSvcxVeUkroSypFW3Tsw7vPoJUcCxhTFNenLxNoR,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
H8PEj2Resy6Pm4tTH6QwybnCswhi5CqKPb6CyVAKYbLB,So11111111111111111111111111111111111111112,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
Di7gDy9EjqcPD2FJiZ3agoG9h5LCEGz5c858CPVfeXDQ,FmpqmVcT4hSUfNhach31YUpf6M75bBYaC59JLMyCVNHH,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
Di7gDy9EjqcPD2FJiZ3agoG9h5LCEGz5c858CPVfeXDQ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
AcSryWAgzMQpgisA7kzi7zViFpqSQojJ7FgsX6sd1RtY,4NGNdLiQ1KG8GgqZimKku4WCLdXbNw6UQJvqax3fE6CJ,0,1,0,0,1,0,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
AcSryWAgzMQpgisA7kzi7zViFpqSQojJ7FgsX6sd1RtY,So11111111111111111111111111111111111111112,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
E1evCUi9Fmcd8VAmHhoM7NNkdwN7WmicwZ3jDdyvpcfm,6thBfacY24FpPwwtE91awkBQ2qrnHuyUX5BxpX9YsSdF,0,1,1,1,1,1,1,1,1,8,0.8888888888888888,VERIFIED_RUG,Active
E1evCUi9Fmcd8VAmHhoM7NNkdwN7WmicwZ3jDdyvpcfm,So11111111111111111111111111111111111111112,0,0,0,0,1,1,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
EksGabSZc3ko5QLCLJNkv9rZrg7KF197TxqqJWpGjrct,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
EksGabSZc3ko5QLCLJNkv9rZrg7KF197TxqqJWpGjrct,BBdrgbSeqcQsMP7Wo9Nv2Xac94UPiKjR9tEBS6Kz7NFp,0,1,1,1,1,1,0,0,1,6,0.6666666666666666,LIKELY_RUG,Active
AKpXWPVFwD39xFVi22UT34s6CKJnwDTAY14pDiGqmae6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,1,0,2,0.2222222222222222,UNCERTAIN,Active
AKpXWPVFwD39xFVi22UT34s6CKJnwDTAY14pDiGqmae6,FiFxBfTSqcz6vWRbp5TKbyhgfkXauSfHiRwxKqMcbuNA,0,1,1,0,1,1,0,1,1,6,0.6666666666666666,LIKELY_RUG,Active
Ew9cqLEcepDLhZiqzGNxQsBY3xQEaP1kKxMLxF7ABskN,CrhUSH7FDwB37BYvPsVnVbsGVeE81biBzfkD4A4fyJMv,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
Ew9cqLEcepDLhZiqzGNxQsBY3xQEaP1kKxMLxF7ABskN,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
6sErpEbj39nuif4qjywR1xV38kpitpV5zmoghYVjacUp,GV3MjuGin8aTG6Rhc1vR1QFYp8gq5vW39jnNPLrbzmPi,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
6sErpEbj39nuif4qjywR1xV38kpitpV5zmoghYVjacUp,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
7UprzMfAufmgkhR7KgzVPnTu9PaTEfhKhasSvjFDty1d,EcFyPDjqpnyMvh1LhACtC6rrCZ41DMez7RZYocjhmUVS,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
7UprzMfAufmgkhR7KgzVPnTu9PaTEfhKhasSvjFDty1d,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
Cqy7PRGRx2QeTLZM3QmLGN68uHxEd9euj2eEeeZWnuvQ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
Cqy7PRGRx2QeTLZM3QmLGN68uHxEd9euj2eEeeZWnuvQ,BygDd5LURoqztD3xETc99WCxLUbTi6WYSht9XiBgZ4HW,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
4ZYiiVakejxGyJ3tuBzYWoHyEV1rk7Hm7viydG6DNaUN,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
4ZYiiVakejxGyJ3tuBzYWoHyEV1rk7Hm7viydG6DNaUN,PRSMNsEPqhGVCH1TtWiJqPjJyh2cKrLostPZTNy1o5x,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
DQqhxUM3G7kVs6UxAGvsVJ2PVywM9UXcaFHaspmT3sH,AAmGoPDFLG6bE82BgZWjVi8k95tj9Tf3vUN7WvtUm2BU,0,1,1,0,1,1,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
DQqhxUM3G7kVs6UxAGvsVJ2PVywM9UXcaFHaspmT3sH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
HaC6cifHFDYgWJ44RgyiHwTsybhnfHhakrfTSWUKgGGi,3PNqq4kEqgRSkV5dYdcc6mtoaoXdaun9ytoCr4BgX5yA,0,1,1,0,1,0,1,1,1,6,0.6666666666666666,LIKELY_RUG,Active
HaC6cifHFDYgWJ44RgyiHwTsybhnfHhakrfTSWUKgGGi,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
6btd5ZUwABzCx22GPU6fmnkapm22gxK1Veb6Tc2thAgP,At5j3zhbEj8mfFsSy1MPbjVhrX2uNmRMPEDZiyFcETNX,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
6btd5ZUwABzCx22GPU6fmnkapm22gxK1Veb6Tc2thAgP,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
Eg9eqJQX5JgFpwHbosPeQPx1AmYFQxXcBF9g1CMq3LMg,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
Eg9eqJQX5JgFpwHbosPeQPx1AmYFQxXcBF9g1CMq3LMg,5y6abqRgxesWCH7xCi5efntYxoZyDxFbBvgHTJS6b2Rm,0,1,1,1,1,0,0,0,1,5,0.5555555555555556,LIKELY_RUG,Active
HCY4Uq3dRouHzvyFPKGGtJ71PZDxB8WKW7yR5zJreqTe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
