MINT,jup_mint_listed,jup_has_price,jup_price_usd,jup_confidence
sonarX4VtVkQemriJeLm6CKeW3GDMyiBnnAEMw1MRAE,0,0,,
7R7rZ7SsLDXkYAfJyRCBScLuZwizeMWaTWrwFhSZU2Jq,0,0,,
Ea5SjE2Y6yvCeW5dYTn7PYMuW5ikXkvbGdcmSnXeaLjS,0,0,,
5L2YboFbHAUpBDDJjvDB5M6pu9CW2FRjyDB2asZyvjtE,0,0,,
9wA13aDuKDAAocctNBFpt8F1UU5WQNJBemba3JZFcNzE,0,0,,
3EkHyexJLGCvSxzn5umbtd9N69GoT4p5pfdLTFqCNP9Y,0,0,,
6zQwyDe541Ys4Q85vkhvHMMRW7ypA4PyHCSF1doWZ4tw,0,0,,
5hw5B7TpiQUAXMsiy6XXJm6XZt65c8cDu4XCZ6NxQebS,0,0,,
6Km8PRUQxPmNX6EhmAuu3sFEnCP6uT2Yt42zPFR6VNnD,0,0,,
G7uYedVqFy97mzjygebnmmaMUVxWHFhNZotY6Zzsprvf,0,0,,
CPL7TvVnQXQ8aN2DytF53uskyYAVxgNx5z2waJrc3Cev,0,0,,
Bjgh4YsLdicr8WArz9ftdSmpWNcQjsZ9KV3w9fkjiLG,0,0,,
Aogv6j1wWiBAZcqRNN1Y89eozda2ke6rkc4CYy7c4iCi,0,0,,
gQ4msQb2jupNnbLLiqpKJmTRUcVmct3Cn7dASrrV9jN,0,0,,
3fFHsncY59ue2HPduo1KhbZRWYRd8iek5tj88sPXMgFk,0,0,,
GGupQCMnyEmHKcqFu72qCTm6yEYpVyhouY9dSAMEXLsC,0,0,,
2uRFEWRBQLEKpLmF8mohFZGDcFQmrkQEEZmHQvMUBvY7,0,0,,
39cG39AZ4cG7oGNMe4RhD3xAzjy1nkiNgk8W6WbDCgeR,0,0,,
FncRHFTSigcNzH66WP3Jh7kupaEHtGV48x8RyMm9cU6d,0,0,,
7s7PKr3qhuvZjngR1Zmsy53tFLLhZA4aoMnzeE8Z2H5Z,0,0,,
9dwrdifAVWZsyEPxi15D8LcLsdrvTbpabrGw5EVzc7pp,0,0,,
45ojchnvC3agGNvs86MWBq8N4miiTY6X8ECQzgQNDE4v,0,0,,
8o66EVAf4u2Hr21m2tuRrPtEXFPLr8G8aL1ETStP8fDu,0,0,,
7zBWymxbZt7PVHQzfi3i85frc1YRiQc23K7bh3gos8ZC,0,0,,
DktNJUJAWJyeLw3ykCkFNpGohE24SoEhevKBskRi6P1y,0,0,,
5yUX1XpjLSTDyNBTQ3N3oYpu6RH4gckqnSS6Ecg79fAL,0,0,,
SLT3iSYKeBuCyxvnfij4RUhMfKxZCY3s12Z5pfkTXhV,0,0,,
GENEtH5amGSi8kHAtQoezp1XEXwZJ8vcuePYnXdKrMYz,0,0,,
CN7qFa5iYkHz99PTctvT4xXUHnxwjQ5MHxCuTJtPN5uS,0,0,,
37mG5XYuwMSutQnvERDUZqxumes5hYp89X2gpBbedpZ2,0,0,,
H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,0,0,,
5p2zjqCd1WJzAVgcEnjhb9zWDU7b9XVhFhx4usiyN7jB,0,0,,
8ymi88q5DtmdNTn2sPRNFkvMkszMHuLJ1e3RVdWjPa3s,0,0,,
9nEqaUcb16sQ3Tn1psbkWqyhPdLmfHWjKGymREjsAgTE,0,0,,
7puG5H5Mc6QpvaXjAVLr6GnL5hhUMnpLcUm8G3mEsgHQ,0,0,,
9VgfFUFkGGrRePvpKLPkp9DR3crRepf6CJsYU3UmudtY,0,0,,
3He7MjkGXd9MjCu9rv7oUosi4Gav1JuzpDqk6sDX7XJo,0,0,,
Aw8qLRHGhMcKq7rxs5XBNCd9oe3BvoAhpNMVz7AdGmty,0,0,,
7q3AdgKuMeDRnjaMQs7ppXjaw4HUxjsdyMrrfiSZraiN,0,0,,
Ap3JAjPAjQxnkLezqptd6pyE7kx2DNiQ5iT7qdBFS4Ux,0,0,,
7dgHoN8wBZCc5wbnQ2C47TDnBMAxG4Q5L3KjP67z8kNi,0,0,,
49c7WuCZkQgc3M4qH8WuEUNXfgwupZf1xqWkDQ7gjRGt,0,0,,
CSQn7G3SmbBVFRMvNH5SJV5sd2HipWSCphfDVcXwY3K6,0,0,,
9K4uNquZjVSBBN6fBsp62gtYLropyAxAbdZC7D9XErih,0,0,,
5dWmnUa5cnPWTv5gkwboqTV3ZwTj4HgAMkeEsXUKE9kB,0,0,,
7TidyfwBJm3sMX4Evk1pGjCTMYCXukqvdX4VNuy5PSEs,0,0,,
ZEExktbqMM5ZMS569pCNbzky92KeEmiFeVwR3exfBNn,0,0,,
2XSuy8RSESbtYRBbVHxGWuoikn3B6iXKVKzN4i3owTCf,0,0,,
CPXDs2uhNwDKAt9V3vXvtspv9U7rsQ2fVr1qAUDmuCaq,0,0,,
E6Hkw5o48QfNo6iUi1aepjEBzVq4ZjQLxh7xVtdTqoyB,0,0,,
FTkj421DxbS1wajE74J34BJ5a1o9ccA97PkK6mYq9hNQ,0,0,,
F9tytWqLUAPXQTy6dejGtSgvJQZWYC71naD5bCi6caGX,0,0,,
8sMa1Jfcpt2eSkKDtcd6rurX27gqxkrEvXn5jHt3suGB,0,0,,
DVPWKGLFHK73PwgKgTtW28iCZGewQdva2N5HeBLDorVJ,0,0,,
5goWRao6a3yNC4d6UjMdQxonkCMvKBwdpubU3qhfcdf1,0,0,,
gmdu3snwW28DmmxCseChp9owWLUhamH9eS3hWfHG8Vg,0,0,,
ALMmmmbt5KNrPPUBFE4dAKUKSPWTop5s3kUGCdF69gmw,0,0,,
E2VmbootbVCBkMNNxKQgCLMS1X3NoGMaYAsufaAsf7M,0,0,,
DAZbw2FG5PCssV24SsP1E3m1whDn8paXZMwBdfVHRt5w,0,0,,
DbRA7Jp8p3tztoPWrDQeJqpKLKXJpotUzJoeiiCdxewz,0,0,,
HfYFjMKNZygfMC8LsQ8LtpPsPxEJoXJx4M6tqi75Hajo,0,0,,
SAMUmmSvrE8yqtcG94oyP1Zu2P9t8PSRSV3vewsGtPM,0,0,,
ERPueLaiBW48uBhqX1CvCYBv2ApHN6ZFuME1MeQGTdAi,0,0,,
GtHxqAqbaZB8eo8R8pGXUhWxs6X8WQWMWTUWKTgSFbHo,0,0,,
2mDJPcvv7vigZo9ZPxhHLpKQSixCkbohVY35eX6NkN6m,0,0,,
7YhfUG27m7ceDCBnB48dGy4mAJab2hqi6YKkp9Ho7ybv,0,0,,
3m7A2A8HHdqmiDrjAfaddj7Hxd88FrBHA1KSoqjoELtu,0,0,,
6gDZSTqGhhUNWE2DuWUa7zSFenmQz2NpAZRpPrg61LF8,0,0,,
6XWfkyg5mzGtKNftSDgYjyoPyUsLRf2rafj95XSFSFrr,0,0,,
6uZ7MRGGf3FJhzk9TUk3QRMR2fz83WY9BEVBukRvMRVX,0,0,,
9BiqBycZWkWH21vYqCbu2bL1PjZbR5GxWGA8LQkShbyt,0,0,,
HysWcbHiYY9888pHbaqhwLYZQeZrcQMXKQWRqS7zcPK5,0,0,,
